TrueY,PredY
0,0.025420183
0,0.06236447
0,0.19373392
1,0.9805296
0,0.11225204
0,0.04277872
0,0.16974732
0,0.013640778
1,0.99661237
0,0.00716783
0,0.015197121
0,0.013710221
0,0.28837302
0,0.32373172
1,0.7596359
0,0.99096596
1,0.996405
0,0.9985741
0,0.0022291772
0,0.03497135
0,0.2493097
0,0.011491675
0,0.014589235
1,0.99900657
1,0.25768274
0,0.0046707713
0,0.25930494
1,0.99860543
1,0.9782775
1,0.94428575
1,0.9976517
0,0.01561102
0,0.11287109
0,0.0034868873
0,0.20420644
0,0.028619636
1,0.9997986
0,0.04063455
0,0.10564695
0,0.0027510577
1,0.9958519
0,0.017696243
1,0.98824346
0,0.19877972
0,0.1174507
1,0.8672104
0,0.031692944
0,0.15807542
1,0.035528287
0,0.06208437
0,0.0050286455
0,0.037448775
0,0.12405278
0,0.01045583
1,0.57957304
1,0.9967022
0,0.004044701
0,0.9973766
0,0.1039346
0,0.01126828
1,0.9975549
1,0.21118085
1,0.9996247
1,0.31579882
1,0.71060616
0,0.10362135
0,0.6014359
1,0.72488046
0,0.009796491
1,0.3275693
0,0.5330034
1,0.9982182
1,0.34923568
0,0.9958131
0,0.0050181192
1,0.99718267
0,0.00573296
0,0.99060404
0,0.94475156
0,0.0025044573
1,0.994136
0,0.0015247505
0,0.10677065
1,0.9985963
0,0.06807276
0,0.04735512
1,0.9984191
0,0.029890388
0,0.9994383
0,0.65999454
0,0.65557814
0,0.0055239964
1,0.001992175
1,0.23246929
1,0.99490243
1,0.99322355
1,0.994692
0,0.048779577
1,0.94773436
0,0.0006302968
0,0.86683303
0,0.26437375
0,0.82179433
0,0.10068605
1,0.99890167
0,0.07455032
1,0.99564373
0,0.00027891918
0,0.0030798432
1,0.99818957
0,0.040856276
0,0.2121588
0,0.010712417
1,0.9966348
1,0.99917394
1,0.9983374
1,0.98586595
0,0.423992
0,0.28897333
1,0.99952966
1,0.98362666
0,0.008629313
1,0.9967621
0,0.0023598657
0,0.012531849
0,0.0031074868
1,0.99850196
0,0.014203402
1,0.41405398
0,0.33344418
1,0.07962393
1,0.91051084
1,0.2055589
0,0.036563154
0,0.013293916
1,0.6688992
0,0.0038294282
0,0.7518581
1,0.9999584
1,0.99499685
0,0.93268394
1,0.74869424
1,0.998186
0,0.08764798
0,0.27871972
0,0.9260763
1,0.80269414
0,0.9765717
1,0.96825016
1,0.99661064
1,0.5417827
